Date Stocked,Location stocked,Catchment,Species stocked,Number stocked
3/01/2009,Goondiwindi (Hilton) Weir,Border Rivers,Murray Cod,5000
3/01/2009,Macintyre River,Border Rivers,Murray Cod,1298
10/01/2009,Pukallus Weir,Brisbane,Golden Perch,34000
10/01/2009,Surat Weir,Condamine and Balonne,Murray Cod,7500
10/01/2009,Surat Weir,Condamine and Balonne,Golden Perch,20000
11/01/2009,Goondiwindi (Hilton) Weir,Border Rivers,Golden Perch,35000
16/01/2009,Yarramalong Weir,Condamine and Balonne,Murray Cod,20000
17/01/2009,Goondiwindi (Hilton) Weir,Border Rivers,Golden Perch,35000
17/01/2009,Talgai Weir,Condamine and Balonne,Golden Perch,10695
18/01/2009,Severn River,Border Rivers,Golden Perch,10000
18/01/2009,Severn River,Border Rivers,Murray Cod,2597
24/01/2009,Moura Weir,Fitzroy,Golden Perch,50000
24/01/2009,Talgai Weir,Condamine and Balonne,Murray Cod,770
24/01/2009,Mount Morgan Big Dam,Fitzroy,Golden Perch,4500
26/01/2009,Surat Weir,Condamine and Balonne,Golden Perch,45454
2/02/2009,Chinchilla Weir,Condamine and Balonne,Golden Perch,23607
3/02/2009,Dumaresq River,Border Rivers,Golden Perch,5000
3/02/2009,Accommoation Creek,Border Rivers,Golden Perch,5000
3/02/2009,Beehive Dam,Border Rivers,Golden Perch,7000
7/02/2009,Gil Weir,Condamine and Balonne,Golden Perch,10000
7/02/2009,Gil Weir,Condamine and Balonne,Murray Cod,1000
8/02/2009,Goondiwindi (Hilton) Weir,Border Rivers,Golden Perch,20000
14/02/2009,Beehive Dam,Border Rivers,Murray Cod,4000
14/02/2009,Beehive Dam,Border Rivers,Golden Perch,6667
15/02/2009,Gil Weir,Condamine and Balonne,Silver Perch,21375
15/02/2009,Macintyre River,Border Rivers,Golden Perch,13000
15/02/2009,Macintyre River,Border Rivers,Murray Cod,4250
15/02/2009,Macintyre River,Border Rivers,Murray Cod,4250
15/02/2009,Gil Weir,Condamine and Balonne,Murray Cod,300
15/02/2009,Gil Weir,Condamine and Balonne,Golden Perch,16375
17/02/2009,Talgai Weir,Condamine and Balonne,Murray Cod,2500
17/02/2009,Talgai Weir,Condamine and Balonne,Golden Perch,9148
25/02/2009,McCauley Weir,Brisbane,Golden Perch,18200
28/02/2009,Surat Weir,Condamine and Balonne,Silver Perch,5000
28/02/2009,Beardmore Dam,Condamine and Balonne,Murray Cod,6000
28/02/2009,Beardmore Dam,Condamine and Balonne,Golden Perch,47682
1/03/2009,Gil Weir,Condamine and Balonne,Murray Cod,2000
10/03/2009,Lake Awoonga,Gladstone,Mangrove Jack,57900
22/03/2009,Bonshaw Weir,Border Rivers,Golden Perch,38888
22/03/2009,Beebo Weir,Border Rivers,Golden Perch,38888
24/03/2009,Glebe Weir,Fitzroy,Golden Perch,16363
26/03/2009,Neville Hewitt Weir,Fitzroy,Golden Perch,32600
28/03/2009,Talgai Weir,Condamine and Balonne,Silver Perch,5350
1/07/2009,BAROON POCKET DAM,Mary River,Australian Bass,19000
9/07/2009,Lake Awoonga,Gladstone,Barramundi,300
7/08/2009,Chinchilla Weir,Condamine and Balonne,Murray Cod,6494
29/10/2009,Theresa Creek Dam,Fitzroy,Barramundi,1500
14/11/2009,Lenthalls Dam (Lake Lenthall),Mary,Australian Bass,25000
17/11/2009,Charters Towers Weir,Burdekin,Barramundi,10101
13/12/2009,Mt Crosby Weir,Brisbane,Australian Bass,30303
19/12/2009,Gil Weir,Condamine and Balonne,Golden Perch,20000
3/01/2010,Caboolture River Weir,Caboolture,Australian Bass,14000
6/01/2010,Jones Weir,Burnett,Australian Bass,25000
17/01/2010,Wambo Creek,Condamine and Balonne,Murray Cod,1000
17/01/2010,Chinchilla Weir,Condamine and Balonne,Murray Cod,3600
17/01/2010,Condamine River (near Chinchilla),Condamine and Balonne,Murray Cod,1000
17/01/2010,Charleys Creek,Condamine and Balonne,Murray Cod,1400
21/01/2010,Fitzroy River Barrage,Fitzroy,Barramundi,10000
24/01/2010,Surat Weir,Condamine and Balonne,Murray Cod,5000
26/01/2010,Surat Weir,Condamine and Balonne,Golden Perch,37500
6/02/2010,Charleys Creek,Condamine and Balonne,Golden Perch,3000
6/02/2010,Condamine River (near Chinchilla),Condamine and Balonne,Golden Perch,5000
6/02/2010,Condamine River (near Chinchilla),Condamine and Balonne,Golden Perch,2500
6/02/2010,Wambo Creek,Condamine and Balonne,Golden Perch,1000
6/02/2010,Chinchilla Weir,Condamine and Balonne,Golden Perch,15600
8/02/2010,Glenlyon Dam,Border Rivers,Murray Cod,5000
8/02/2010,Glenlyon Dam,Border Rivers,Golden Perch,42000
14/02/2010,Lake Borumba,Mary,Silver Perch,19000
17/02/2010,Surat Weir,Condamine and Balonne,Silver Perch,13475
6/03/2010,Gorizzia's Lagoon,Burdekin,Barramundi,250
6/03/2010,Hutchinga Lagoon,Burdekin,Barramundi,250
6/03/2010,Favero's Lagoon,Burdekin,Barramundi,250
6/03/2010,Payards Lagoon,Burdekin,Barramundi,250
6/03/2010,Churches Lagoon,Burdekin,Barramundi,250
6/03/2010,Dicks Bank Lagoon,Burdekin,Barramundi,250
28/03/2010,Lake Awoonga,Gladstone,Barramundi,133000
10/04/2010,Lake Awoonga,Gladstone,Barramundi,127000
17/04/2010,Gleeson Weir,Townsville,Barramundi,613
17/04/2010,Herbert River,Herbet,Barramundi,8741
18/04/2010,Marian Weir,Pioneer,Barramundi,1000
11/05/2010,Wuruma Dam,Burnett,Golden Perch,1900
15/05/2010,Charters Towers Weir,Burdekin,Barramundi,13500
22/05/2010,Stanley River,Brisbane,Silver Perch,1000
22/05/2010,Stanley River,Brisbane,Australian Bass,3000
22/05/2010,Stanley River,Brisbane,Golden Perch,1600
24/05/2010,Wivenhoe Dam,Brisbane,Golden Perch,40000
1/06/2010,Leslie Dam,Condamine and Balonne,Silver Perch,34329
13/08/2010,Burdekin Dam/Lake Dalrymple,Burdekin,Barramundi,5000
24/08/2010,Kinchant Dam,Pioneer,Barramundi,400
28/08/2010,Peter Faust Dam,Whitsundays,Barramundi,3000
2/09/2010,Burdekin Dam/Lake Dalrymple,Burdekin,Barramundi,5032
18/09/2010,Peter Faust Dam,Whitsundays,Barramundi,3200
2/10/2010,Charters Towers Weir,Burdekin,Barramundi,2900
13/10/2010,Leslie Dam,Condamine and Balonne,Silver Perch,15671
15/10/2010,Dicks Bank Lagoon,Burdekin,Barramundi,150
31/10/2010,Teemburra Dam,Pioneer,Barramundi,5000
1/11/2010,Norman River,Gulf,Barramundi,232
4/11/2010,Peter Faust Dam,Whitsundays,Barramundi,3000
5/11/2010,Lake MacDonald,Mary,Australian Bass,30000
6/11/2010,Cania Dam,Burnett,Australian Bass,35354
6/11/2010,Black Weir,Townsville,Barramundi,836
10/11/2010,Koombooloomba Dam,Tully,Barramundi,3000
14/11/2010,Boondooma Dam,Burnett,Australian Bass,100000
14/11/2010,Theresa Creek Dam,Fitzroy,Barramundi,625
19/11/2010,Fred Haigh Dam,Kolan,Australian Bass,101010
19/11/2010,Leslie Dam,Condamine and Balonne,Golden Perch,50000
20/11/2010,Lenthalls Dam (Lake Lenthall),Mary,Australian Bass,80000
21/11/2010,Boondooma Dam,Burnett,Australian Bass,20000
24/11/2010,Tinaroo Dam,Barron,Barramundi,4000
26/11/2010,Lake Borumba,Mary,Australian Bass,40000
27/11/2010,Lake Gregory,Burnett,Australian Bass,30303
29/11/2010,Lake Borumba,Mary,Golden Perch,40000
2/12/2010,Lake Dyer,Brisbane,Golden Perch,8000
2/12/2010,Lenthalls Dam (Lake Lenthall),Mary,Barramundi,5500
3/12/2010,Boondooma Dam,Burnett,Golden Perch,75000
4/12/2010,North Pine Dam,Pine,Australian Bass,80808
4/12/2010,Oakey Creek,Condamine and Balonne,Murray Cod,1500
4/12/2010,Macintyre River,Border Rivers,Murray Cod,5303
10/12/2010,Wivenhoe Dam,Brisbane,Golden Perch,74900
11/12/2010,Wivenhoe Dam,Brisbane,Australian Bass,124186
11/12/2010,Somerset Dam,Brisbane,Australian Bass,199047
12/12/2010,Glenlyon Dam,Border Rivers,Golden Perch,80000
15/12/2010,Fairbairn Dam,Fitzroy,Golden Perch,20000
17/12/2010,Fairbairn Dam,Fitzroy,Golden Perch,20000
19/12/2010,Boondooma Dam,Burnett,Golden Perch,75000
19/12/2010,Boondooma Dam,Burnett,Golden Perch,75000
20/12/2010,Bjelke Peterson Dam,Burnett,Australian Bass,180000
21/12/2010,Fred Haigh Dam,Kolan,Barramundi,83000
23/12/2010,Lake Dyer,Brisbane,Australian Bass,7000
24/12/2010,Bjelke Peterson Dam,Burnett,Golden Perch,150000
5/01/2011,Lenthalls Dam (Lake Lenthall),Mary,Barramundi,15000
5/01/2011,Glenlyon Dam,Border Rivers,Golden Perch,100000
5/01/2011,Fred Haigh Dam,Kolan,Barramundi,17820
9/01/2011,Lake Awoonga,Gladstone,Barramundi,207000
13/01/2011,Condamine River (Upper),Condamine and Balonne,Murray Cod,200
13/01/2011,Connolly Dam,Condamine and Balonne,Murray Cod,200
13/01/2011,Leslie Dam,Condamine and Balonne,Murray Cod,10000
13/01/2011,Connolly Dam,Condamine and Balonne,Murray Cod,1200
20/01/2011,Callide Dam,Fitzroy,Barramundi,7000
20/01/2011,Callide Dam,Fitzroy,Barramundi,4000
23/01/2011,Maroon Dam,Logan,Golden Perch,26500
23/01/2011,Moogerah Dam,Brisbane,Golden Perch,37500
23/01/2011,Moogerah Dam,Brisbane,Australian Bass,38500
23/01/2011,Maroon Dam,Logan,Australian Bass,31500
26/01/2011,Glenlyon Dam,Border Rivers,Golden Perch,25000
26/01/2011,Glenlyon Dam,Border Rivers,Murray Cod,5000
29/01/2011,Koombooloomba Dam,Tully,Barramundi,1150
29/01/2011,Claude Wharton Weir,Burnett,Golden Perch,50000
29/01/2011,Jones Weir,Burnett,Golden Perch,21500
29/01/2011,Jones Weir,Burnett,Australian Bass,12500
30/01/2011,Claude Wharton Weir,Burnett,Barramundi,4000
30/01/2011,Kinchant Dam,Pioneer,Barramundi,13037
30/01/2011,Claude Wharton Weir,Burnett,Australian Bass,20202
30/01/2011,Wuruma Dam,Burnett,Golden Perch,30000
30/01/2011,Goondiwindi (Hilton) Weir,Border Rivers,Golden Perch,30000
1/02/2011,Leslie Dam,Condamine and Balonne,Golden Perch,80000
3/02/2011,Bonshaw Weir,Border Rivers,Golden Perch,14900
5/02/2011,Condamine River (Upper),Condamine and Balonne,Golden Perch,3500
5/02/2011,Cania Dam,Burnett,Golden Perch,40000
5/02/2011,Kings Creek,Condamine and Balonne,Golden Perch,10000
5/02/2011,Condamine River (Upper),Condamine and Balonne,Golden Perch,750
5/02/2011,Lake Kurwongbah,Pine,Saratoga,79
5/02/2011,Caboolture River Weir,Caboolture,Australian Bass,19000
5/02/2011,Cania Dam,Burnett,Silver Perch,40000
6/02/2011,Callide Dam,Fitzroy,Golden Perch,20000
6/02/2011,Severn River,Border Rivers,Murray Cod,4675
8/02/2011,Fairbairn Dam,Fitzroy,Barramundi,60750
9/02/2011,Chinchilla Weir,Condamine and Balonne,Murray Cod,1130
9/02/2011,Condamine River (near Chinchilla),Condamine and Balonne,Murray Cod,445
9/02/2011,Condamine River (near Chinchilla),Condamine and Balonne,Golden Perch,6150
9/02/2011,Chinchilla Weir,Condamine and Balonne,Golden Perch,26000
12/02/2011,Ewen Maddock Dam,Mary,Golden Perch,8500
12/02/2011,Ewen Maddock Dam,Mary,Australian Bass,17500
12/02/2011,Ewen Maddock Dam,Mary,Silver Perch,3000
13/02/2011,Pukallus Weir,Brisbane,Australian Bass,10000
13/02/2011,Teemburra Dam,Pioneer,Barramundi,2260
13/02/2011,Pukallus Weir,Brisbane,Golden Perch,10000
13/02/2011,Teemburra Dam,Pioneer,Barramundi,7662
14/02/2011,Goondiwindi (Hilton) Weir,Border Rivers,Golden Perch,30000
15/02/2011,Connolly Dam,Condamine and Balonne,Golden Perch,10000
15/02/2011,Cressbrook Dam,Brisbane,Golden Perch,20000
15/02/2011,Cressbrook Dam,Brisbane,Australian Bass,20000
15/02/2011,Connolly Dam,Condamine and Balonne,Golden Perch,2667
16/02/2011,Selma Weir,Fitzroy,Golden Perch,15000
16/02/2011,Cooby Dam,Condamine and Balonne,Golden Perch,30000
17/02/2011,Storm King Dam,Border Rivers,Golden Perch,27654
17/02/2011,Storm King Dam,Border Rivers,Murray Cod,520
18/02/2011,Norman River,Gulf,Barramundi,3000
19/02/2011,Glebe Weir,Fitzroy,Golden Perch,12000
19/02/2011,Somerset Dam,Brisbane,Golden Perch,118980
19/02/2011,Glebe Weir,Fitzroy,Golden Perch,6400
19/02/2011,Wuruma Dam,Burnett,Australian Bass,30000
20/02/2011,Ward River,Warrego,Golden Perch,10900
20/02/2011,Warrego River/Weir,Warrego,Golden Perch,1600
20/02/2011,Beehive Dam,Border Rivers,Golden Perch,2660
20/02/2011,Severn River,Border Rivers,Golden Perch,2660
20/02/2011,Severn River,Border Rivers,Murray Cod,300
20/02/2011,Accommoation Creek,Border Rivers,Murray Cod,100
20/02/2011,Accommoation Creek,Border Rivers,Golden Perch,2980
20/02/2011,Severn River,Border Rivers,Golden Perch,2980
20/02/2011,Warrego River/Weir,Warrego,Golden Perch,1600
20/02/2011,Langlo River,Warrego,Golden Perch,200
20/02/2011,Warrego River/Weir,Warrego,Golden Perch,2400
20/02/2011,Moura Weir,Fitzroy,Golden Perch,30000
20/02/2011,Severn River,Border Rivers,Murray Cod,100
20/02/2011,Beehive Dam,Border Rivers,Murray Cod,300
20/02/2011,Warrego River/Weir,Warrego,Golden Perch,25000
24/02/2011,Lake Belmore,Gulf,Barramundi,1500
